,wind_direction,wind_speed,wave_height,surf_avg
2016-05-18 13:00:00,-1.1514026752296087,-0.8651622106704001,-1.1194789111065677,2.4673559999999997
2016-05-18 14:00:00,-1.1514026752296087,-0.8651622106704001,-0.777411511475759,2.4470359999999998
2016-05-18 15:00:00,-1.5011618366273674,-0.8651622106704001,-0.6633890449321563,2.426716
2016-05-18 16:00:00,-1.1514026752296087,-1.225437972198849,-0.891433978019362,2.406396
2016-05-18 17:00:00,-1.1514026752296087,-1.0453000914346247,-0.777411511475759,2.386076
2016-05-18 18:00:00,-1.1514026752296087,-1.4055758529630735,-0.777411511475759,2.365756
2016-05-18 19:00:00,-1.1514026752296087,-1.0453000914346247,-0.777411511475759,2.3454360000000003
2016-05-18 20:00:00,-1.1514026752296087,-0.6850243299061757,-0.777411511475759,2.252218
2016-05-18 21:00:00,-1.5011618366273674,-0.6850243299061757,-0.6633890449321563,2.1590000000000003
2016-05-18 22:00:00,-1.1514026752296087,-0.6850243299061757,-0.5493665783885533,2.0657820000000005
2016-05-18 23:00:00,-1.5011618366273674,-1.0453000914346247,-0.32132164530134766,1.9725640000000002
2016-05-19 00:00:00,-1.1514026752296087,-0.5048864491419512,-0.32132164530134766,1.8793460000000002
2016-05-19 01:00:00,-1.1514026752296087,-0.6850243299061757,-0.09327671221414195,1.7861280000000002
2016-05-19 02:00:00,-1.1514026752296087,-0.5048864491419512,-0.32132164530134766,1.7162780000000002
2016-05-19 03:00:00,-1.1514026752296087,-0.6850243299061757,-0.43534411184495037,1.646428
2016-05-19 04:00:00,-1.1514026752296087,-0.6850243299061757,-0.43534411184495037,1.576578
2016-05-19 05:00:00,-1.5011618366273674,-0.8651622106704001,-0.5493665783885533,1.506728
2016-05-19 06:00:00,-1.5011618366273674,-0.6850243299061757,-0.5493665783885533,1.436878
2016-05-19 07:00:00,-1.5011618366273674,-0.5048864491419512,-0.777411511475759,1.367028
2016-05-19 08:00:00,-1.0975935734761073,-0.5048864491419512,-0.777411511475759,1.328166
2016-05-19 09:00:00,-1.5011618366273674,-0.32474856837772675,-0.777411511475759,1.289304
2016-05-19 10:00:00,-1.0975935734761073,-0.32474856837772675,-0.891433978019362,1.250442
2016-05-19 11:00:00,-1.0975935734761073,-0.32474856837772675,-0.6633890449321563,1.2115799999999999
2016-05-19 12:00:00,-1.0975935734761073,-0.5048864491419512,-0.6633890449321563,1.172718
2016-05-19 13:00:00,-1.0975935734761073,-0.5048864491419512,-0.6633890449321563,1.133856
2016-05-19 14:00:00,-1.0975935734761073,-0.5048864491419512,-0.6633890449321563,1.10998
2016-05-19 15:00:00,-1.0975935734761073,-0.6850243299061757,-0.6633890449321563,1.086104
2016-05-19 16:00:00,-1.0975935734761073,-0.32474856837772675,-0.777411511475759,1.062228
2016-05-19 17:00:00,-1.0975935734761073,-0.6850243299061757,-0.777411511475759,1.038352
2016-05-19 18:00:00,-1.0975935734761073,-1.0453000914346247,-0.777411511475759,1.014476
2016-05-19 19:00:00,-1.0975935734761073,-0.6850243299061757,-0.891433978019362,0.9906
2016-05-19 20:00:00,-1.0975935734761073,-0.5048864491419512,-0.891433978019362,0.970788
2016-05-19 21:00:00,-1.0975935734761073,-0.1446106876135023,-0.891433978019362,0.950976
2016-05-19 22:00:00,-1.0975935734761073,-0.1446106876135023,-0.891433978019362,0.9311640000000001
2016-05-19 23:00:00,-1.0975935734761073,0.03552719315072216,-0.891433978019362,0.911352
2016-05-20 00:00:00,-1.0975935734761073,-0.5048864491419512,-0.891433978019362,0.89154
2016-05-20 01:00:00,-1.0975935734761073,-0.5048864491419512,-0.777411511475759,0.8717280000000001
2016-05-20 02:00:00,-1.0975935734761073,-0.32474856837772675,-0.777411511475759,0.8501380000000001
2016-05-20 03:00:00,-0.6940253103248473,-0.5048864491419512,-0.891433978019362,0.8285480000000001
2016-05-20 04:00:00,-0.6940253103248473,-0.5048864491419512,-0.891433978019362,0.8069580000000001
2016-05-20 05:00:00,-0.6940253103248473,-0.32474856837772675,-1.0054564445629648,0.7853680000000001
2016-05-20 06:00:00,-0.6940253103248473,-0.5048864491419512,-0.891433978019362,0.7637780000000001
2016-05-20 07:00:00,-0.6940253103248473,-0.5048864491419512,-1.0054564445629648,0.7421880000000001
2016-05-20 08:00:00,-0.2904570471735873,-0.1446106876135023,-0.891433978019362,0.728218
2016-05-20 09:00:00,-0.6940253103248473,-0.1446106876135023,-0.891433978019362,0.7142480000000001
2016-05-20 10:00:00,-0.6940253103248473,-0.5048864491419512,-0.891433978019362,0.7002780000000001
2016-05-20 11:00:00,-0.6940253103248473,-0.32474856837772675,-0.777411511475759,0.686308
2016-05-20 12:00:00,-0.2904570471735873,-0.32474856837772675,-0.891433978019362,0.6723380000000001
2016-05-20 13:00:00,-0.6940253103248473,-0.32474856837772675,-0.777411511475759,0.6583680000000001
2016-05-20 14:00:00,-0.6940253103248473,-0.1446106876135023,-0.6633890449321563,0.6471920000000001
2016-05-20 15:00:00,-0.2904570471735873,-0.1446106876135023,-0.6633890449321563,0.636016
2016-05-20 16:00:00,-0.2904570471735873,-0.32474856837772675,-0.5493665783885533,0.6248400000000001
2016-05-20 17:00:00,-0.2904570471735873,-0.1446106876135023,-0.6633890449321563,0.6136640000000001
2016-05-20 18:00:00,-0.2904570471735873,-0.1446106876135023,-0.6633890449321563,0.602488
2016-05-20 19:00:00,-0.2904570471735873,0.03552719315072216,-0.777411511475759,0.5913120000000001
2016-05-20 20:00:00,-0.6940253103248473,0.3958029546791711,-0.777411511475759,0.5897880000000001
